system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1737,34095.83774461273,5808.236285681323,7751.249576370136,254,1,41,-12.946875000000006,-70.048875,0,-177.5,1571.5,1224.5,347.0,106.5,2.999186,
1_1_1_1_1738,15090.789446799145,24474.163700597164,1414.2783268260814,300,1,21,-12.853125000000006,-70.534375,0,-8.0,1571.5,1224.5,347.0,6.0,2.1157184,
1_1_1_1_1739,36132.17911811587,5553.435600343546,6786.992646694064,252,1,41,-12.938125,-70.029375,0,-24.5,1571.5,1224.5,347.0,14.7,1.902602,
1_1_1_1_1740,38639.55226970509,7873.515156564716,10133.926953338743,260,1,34,-12.964624999999998,-70.00937499999999,0,0.0,1571.5,1224.5,347.0,0.0,1.3286984,
1_1_1_1_1741,38249.52391067037,4005.789259625286,6418.027564151542,255,1,34,-12.927625000000006,-70.00937499999999,0,-84.5,1571.5,1224.5,347.0,50.7,0.95152307,
1_1_1_1_1742,10596.542962551614,20975.29928507166,3684.8040263804514,295,1,42,-12.828375000000008,-70.470375,0,0.0,1571.5,1224.5,347.0,0.0,2.9380007,
1_1_1_1_1743,10292.186568969852,23190.599342559617,7718.4535171899215,327,1,21,-12.970124999999996,-70.625625,1,8.0,1571.5,1224.5,347.0,0.1,6.711724,
1_1_1_1_1744,15106.20674560314,24420.849751302343,1491.7595957758595,296,1,21,-12.852874999999997,-70.533625,0,-9.0,1571.5,1224.5,347.0,6.5,2.9380305,
1_1_1_1_1745,13275.16349799269,29826.097207133473,973.0006323064492,292,1,41,-12.770624999999995,-70.526875,1,7.0,1571.5,1224.5,347.0,-1.5,6.61253,
1_1_1_1_1746,9892.63029168748,23265.614290661626,2539.30821014232,313,1,31,-12.904375000000002,-70.547875,1,-8.0,1571.5,1224.5,347.0,4.9,3.911382,
1_1_1_1_1747,12851.241075805736,28231.592693781695,1813.786261267435,335,1,21,-12.895125000000007,-70.592625,1,29.5,1571.5,1224.5,347.0,-0.3,2.6555893,
1_1_1_1_1748,19047.57867907261,29754.4295672489,3249.301526741113,304,1,24,-12.812875000000005,-70.564875,0,-29.5,1571.5,1224.5,347.0,24.0,0.9510879,
1_1_1_1_1749,14024.846449067521,32697.453968847814,543.9069277861332,300,1,24,-12.745625000000004,-70.54062499999999,1,1.5,1571.5,1224.5,347.0,8.0,2.083598,
1_1_1_1_1750,15787.172868982258,23562.459571961546,2487.6435032535883,290,1,41,-12.845375000000004,-70.518625,0,-1.0,1571.5,1224.5,347.0,0.6,0.92740995,
1_1_1_1_1751,18207.768017556475,28406.821188392358,1913.8865786502342,309,1,24,-12.829374999999999,-70.56162499999999,0,-11.5,1571.5,1224.5,347.0,12.2,2.115558,
1_1_1_1_1752,14437.045259655652,26873.36165734422,357.2336620228091,292,1,21,-12.803624999999997,-70.522375,0,-3.0,1571.5,1224.5,347.0,5.3,2.0836976,
1_1_1_1_1753,5372.797893745051,29575.28258372566,5458.905686843433,293,1,24,-12.706874999999997,-70.46012499999999,0,-54.0,1571.5,1224.5,347.0,35.2,0.0,
1_1_1_1_1754,19312.723427832523,30659.82196730094,4366.16588776804,305,1,34,-12.826125000000005,-70.584125,0,16.5,1571.5,1224.5,347.0,-3.4,5.7627144,
1_1_1_1_1755,29583.580469102908,7614.955984427972,12803.133979254253,272,1,31,-12.981375,-70.09712499999999,1,-12.5,1571.5,1224.5,347.0,7.5,1.328744,
1_1_1_1_1756,39009.22958715538,7104.605816552651,9679.482405704037,258,1,24,-12.958624999999998,-70.00512499999999,1,0.0,1571.5,1224.5,347.0,0.0,0.95164174,
1_1_1_1_1757,31940.271699525383,1717.032496292005,4826.12266934143,259,1,24,-12.910875000000004,-70.066625,1,-10.0,1571.5,1224.5,347.0,6.0,1.3285512,
1_1_1_1_1758,36506.52721136229,651.146400924563,2093.4415712660066,250,1,34,-12.890875000000008,-70.02562499999999,0,0.0,1571.5,1224.5,347.0,0.3,1.3284968,
1_1_1_1_1759,8924.869503098567,26457.152838609854,1704.3464269455292,283,1,41,-12.767125000000007,-70.484625,0,-34.5,1571.5,1224.5,347.0,20.8,4.224524,
1_1_1_1_1760,15880.498029502698,29428.570890019553,1930.4282768420198,293,1,34,-12.791875000000005,-70.543375,0,35.0,1571.5,1224.5,347.0,-9.7,3.909734,
