system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
2_1607,1269841.0293769543,16938.86501432823,6882.792650812043,237,1,41,-12.736125000000001,-69.91137499999999,0,-44.0,1160.1,1266.4,-106.30000000000018,26.4,3.978543,
2_1608,46204.14463316544,9160.393081193488,16459.34733078131,250,1,41,-12.993875000000003,-69.944375,1,-4.5,1160.1,1266.4,-106.30000000000018,3.3,2.0840273,
2_1609,45081.68515125656,13589.541655773437,18910.295797020157,250,1,21,-13.031125000000003,-69.961125,1,0.0,1160.1,1266.4,-106.30000000000018,1.0,5.496703,
2_1610,16711.93628404011,30669.151042011177,1163.453117760472,240,1,31,-12.631375000000006,-70.234375,0,21.5,1160.1,1266.4,-106.30000000000018,-3.2,11.600215,
2_1611,47999.50569256385,8614.62544804517,8344.991806920385,246,1,31,-12.818875000000006,-69.930125,0,54.0,1160.1,1266.4,-106.30000000000018,-8.0,4.22522,
2_1612,5453.876425182114,38908.85805635097,4050.071976628211,268,1,24,-12.601624999999999,-70.446625,0,-61.0,1160.1,1266.4,-106.30000000000018,39.2,2.1140268,
2_1613,45262.6710660258,8260.995906794187,15079.502952742101,250,1,34,-12.983125000000001,-69.951125,0,-73.0,1160.1,1266.4,-106.30000000000018,43.8,1.9029456,
2_1614,40151.632252669246,8378.390095050414,11429.955668825169,258,1,24,-12.972375,-69.996625,0,-30.5,1160.1,1266.4,-106.30000000000018,34.1,2.0839899,
2_1615,47049.189311600734,12993.667030562352,19757.55889840087,250,1,21,-13.029875000000004,-69.943125,1,11.5,1160.1,1266.4,-106.30000000000018,-2.3,3.3676732,
2_1616,30540.895276660223,28475.890339396552,12197.632099633629,235,1,31,-12.625875000000008,-70.107375,1,-24.0,1160.1,1266.4,-106.30000000000018,16.0,5.4276576,
2_1617,40416.616032133265,12527.082862758394,4437.280605340644,235,1,31,-12.766374999999996,-70.008625,0,0.0,1160.1,1266.4,-106.30000000000018,0.0,4.6273675,
2_1618,36487.98952646237,3129.6437771924047,753.7678189779382,252,1,34,-12.849125,-70.031125,0,-35.0,1160.1,1266.4,-106.30000000000018,33.9,1.3283837,
2_1619,44139.8482019107,11921.460604448617,16745.63624277543,251,1,21,-13.012375000000006,-69.96787499999999,0,-14.0,1160.1,1266.4,-106.30000000000018,14.0,2.08406,
2_1620,31818.271600705306,25817.57299061262,13427.961227201926,236,1,34,-12.648375000000001,-70.097625,0,-63.0,1160.1,1266.4,-106.30000000000018,41.8,0.9504715,
2_1621,6546.690132150854,33021.686097061596,4081.4797441437177,288,1,21,-12.673124999999999,-70.466375,0,53.0,1160.1,1266.4,-106.30000000000018,-8.6,2.9378126,
2_1622,7073.837981021214,20351.78715941859,7861.034064026573,397,1,31,-12.994875000000008,-70.600375,0,-6.5,1160.1,1266.4,-106.30000000000018,7.1,16.471903,
2_1623,34454.82225041037,23024.51835711417,14293.782749938142,253,1,21,-12.669875000000005,-70.07662499999999,1,-11.0,1160.1,1266.4,-106.30000000000018,6.6,6.3205657,
2_1624,1269151.854070244,11400.604718361914,16934.32320120042,246,1,24,-13.015375000000006,-69.904125,0,-66.0,1160.1,1266.4,-106.30000000000018,39.6,2.0840647,
2_1625,8783.411712708303,24052.08675897336,5900.025191948335,362,1,21,-12.961124999999996,-70.607125,0,-49.0,1160.1,1266.4,-106.30000000000018,31.8,6.615083,
2_1626,1269817.8048401866,15407.615626594368,3313.3324823615085,239,1,24,-12.745625000000004,-69.878125,0,64.5,1160.1,1266.4,-106.30000000000018,-17.8,2.9970164,
2_1627,33974.86082702381,22446.275920111177,13824.542337914238,249,1,31,-12.676375000000007,-70.082375,0,-53.5,1160.1,1266.4,-106.30000000000018,33.7,1.9006292,
2_1628,17280.62344286327,31098.091772977525,2889.959563662103,298,1,41,-12.787125000000003,-70.559625,0,21.0,1160.1,1266.4,-106.30000000000018,-3.2,2.0836694,
2_1629,5770.327515640369,15559.12008579657,5418.3536460368205,435,1,31,-13.044624999999996,-70.560625,0,-23.0,1160.1,1266.4,-106.30000000000018,17.0,15.575167,
2_1630,9701.826263558145,30828.432428286273,8395.521436169443,240,1,41,-12.636125000000007,-70.300375,0,-11.5,1160.1,1266.4,-106.30000000000018,12.6,8.742984,
2_1631,15118.625904431898,24419.37344038807,11076.458350641953,351,1,21,-12.968125,-70.670625,0,95.5,1160.1,1266.4,-106.30000000000018,-7.8,3.7047918,
2_1632,10841.62788125476,28148.346651209467,8519.19450884823,269,1,31,-12.660875000000004,-70.299125,0,-82.0,1160.1,1266.4,-106.30000000000018,58.9,7.9940243,
2_1633,43939.05521267409,12986.066857881871,17400.63309540695,252,1,21,-13.021124999999998,-69.97212499999999,1,-12.0,1160.1,1266.4,-106.30000000000018,10.2,0.95188123,
2_1634,37249.12005812996,11318.39372864178,2304.2224852905915,250,1,21,-12.773375000000001,-70.036875,0,-18.0,1160.1,1266.4,-106.30000000000018,18.2,2.0836456,
2_1635,1269839.7907457163,16922.90485300016,7024.620451346367,241,1,24,-12.736625000000004,-69.913125,1,-54.5,1160.1,1266.4,-106.30000000000018,32.7,2.9969215,
2_1636,12790.26901613355,27401.658974368824,970.8435289555385,332,1,21,-12.890875000000008,-70.583125,0,7.0,1160.1,1266.4,-106.30000000000018,11.0,1.3284968,
2_1637,27694.277970953826,14773.598191780009,8437.591006724913,250,1,31,-12.768875000000008,-70.125625,0,9.5,1160.1,1266.4,-106.30000000000018,0.1,4.8331637,
2_1638,11963.227271099979,24306.966496635378,7922.006819955403,319,1,41,-12.961624999999998,-70.638875,0,-65.0,1160.1,1266.4,-106.30000000000018,43.3,2.7802885,
2_1639,13428.095905769404,24759.215278207565,2332.855807168762,294,1,21,-12.814374999999998,-70.505875,0,-14.5,1160.1,1266.4,-106.30000000000018,29.5,5.493172,
2_1640,47825.8449251922,7676.815291792033,8700.094262324968,248,1,24,-12.827875000000006,-69.929875,0,-40.5,1160.1,1266.4,-106.30000000000018,31.9,4.670165,
2_1641,31183.049361033256,3243.3571877250843,7057.791696087822,260,1,34,-12.930625000000006,-70.074125,1,2.0,1160.1,1266.4,-106.30000000000018,32.7,4.7233567,
2_1642,44637.49084045265,9893.552253118223,15663.266464985822,249,1,34,-12.995874999999998,-69.959375,1,-190.5,1160.1,1266.4,-106.30000000000018,114.3,6.734607,
2_1643,1269135.639749336,11972.812347881267,18101.776853641557,249,1,21,-13.021875000000009,-69.914125,0,-67.0,1160.1,1266.4,-106.30000000000018,45.3,3.980863,
2_1644,4461.888558808979,31691.254440154316,4188.266877649457,285,1,24,-12.641625000000005,-70.35612499999999,1,2.5,1160.1,1266.4,-106.30000000000018,34.3,4.6273675,
2_1645,20990.078055503345,34490.76225437852,3428.7976303391447,235,1,21,-12.598624999999998,-70.194375,0,4.0,1160.1,1266.4,-106.30000000000018,11.5,2.7802885,
2_1646,38321.42119840611,11493.32764286629,13273.687638332443,248,1,41,-12.996375,-70.018625,0,-119.0,1160.1,1266.4,-106.30000000000018,79.6,4.6273675,
2_1647,5239.553735672441,15530.8640085807,4474.276164003789,430,1,31,-13.044125000000008,-70.549875,0,3.5,1160.1,1266.4,-106.30000000000018,-0.7,12.528267,
2_1648,1634.3929808254454,2470.406228801801,296.21187267012476,313,1,41,-13.061125000000004,-70.376875,0,24.5,1160.1,1266.4,-106.30000000000018,4.0,0.0,
2_1649,10317.845829497517,27460.8697304707,1837.6668029559994,271,1,31,-12.768875000000008,-70.498125,1,-26.0,1160.1,1266.4,-106.30000000000018,24.2,2.1151478,
2_1650,15162.012459531816,29933.776130462556,949.5487138365943,292,1,34,-12.782375000000002,-70.54062499999999,0,-26.0,1160.1,1266.4,-106.30000000000018,33.7,0.95097375,
2_1651,9673.057427248363,27172.1369929236,2059.4977673775243,325,1,21,-12.929375000000007,-70.591625,0,127.5,1160.1,1266.4,-106.30000000000018,-36.3,3.8243766,
2_1652,34814.714951251604,10284.158425210666,12498.092014207828,267,1,21,-12.990375,-70.050125,0,-80.5,1160.1,1266.4,-106.30000000000018,54.7,6.696538,
2_1653,12945.410453386197,22080.956879693877,10901.805615055564,331,1,41,-12.985375000000005,-70.653375,0,-146.5,1160.1,1266.4,-106.30000000000018,89.7,5.627593,
2_1654,6271.314764465263,39101.92826096414,3625.652411926628,266,1,21,-12.606625000000008,-70.461375,1,3.5,1160.1,1266.4,-106.30000000000018,14.7,1.3277333,
2_1655,2654.6688116548085,9513.545103616087,3319.3740460908184,437,1,21,-13.053875000000005,-70.444375,0,96.5,1160.1,1266.4,-106.30000000000018,-6.4,4.723451,
2_1656,14855.346662624062,9232.903319855903,3239.9598056042537,277,1,21,-12.826875000000001,-70.235375,0,9.0,1160.1,1266.4,-106.30000000000018,4.7,3.979274,
2_1657,44328.370283319666,8990.92135695357,14744.57720152757,254,1,34,-12.986374999999995,-69.960375,0,-120.0,1160.1,1266.4,-106.30000000000018,86.6,1.9029711,
2_1658,11301.126381973736,28446.45700799985,2020.9591530848663,277,1,21,-12.767624999999995,-70.508625,0,177.5,1160.1,1266.4,-106.30000000000018,-39.3,4.669752,
2_1659,12388.842968689378,22499.846379480452,2657.7063904909887,301,1,41,-12.877125000000007,-70.527875,0,-11.0,1160.1,1266.4,-106.30000000000018,7.6,0.92740995,
2_1660,16408.536962770504,29491.352320568865,2326.9819452874676,293,1,41,-12.795124999999999,-70.547125,0,-14.5,1160.1,1266.4,-106.30000000000018,11.5,2.1153245,
2_1661,15140.623356879585,4115.232815087804,5835.652576796387,290,1,41,-12.955375000000004,-70.22687499999999,0,-70.0,1160.1,1266.4,-106.30000000000018,43.2,4.7047324,
2_1662,1269082.554472332,14270.61362793307,20773.166389669757,239,1,31,-13.043125000000003,-69.926125,1,0.0,1160.1,1266.4,-106.30000000000018,0.0,4.7058125,
2_1663,12933.657960634175,20348.908692869074,12341.564820862022,333,1,34,-13.001874999999998,-70.653875,0,115.5,1160.1,1266.4,-106.30000000000018,-13.1,2.1167374,
2_1664,42410.992918769974,27508.46397779423,18634.637289852933,231,1,41,-12.628875000000008,-69.99912499999999,0,21.0,1160.1,1266.4,-106.30000000000018,9.1,11.402727,
2_1665,46233.08713887301,25185.238857562978,16868.10733330247,218,1,42,-12.658124999999998,-69.966375,0,42.5,1160.1,1266.4,-106.30000000000018,15.3,6.874702,
2_1666,31824.73824327436,15585.812526049707,7952.066449538202,257,1,34,-12.744375000000005,-70.091875,0,-26.0,1160.1,1266.4,-106.30000000000018,16.0,1.8543341,
2_1667,9173.247310410667,19085.224853494263,9867.02799666954,462,1,21,-13.007125000000002,-70.619125,0,-53.5,1160.1,1266.4,-106.30000000000018,43.2,8.410027,
2_1668,1269097.5301157914,13676.878769335266,19329.072068955484,244,1,21,-13.037125000000003,-69.909875,0,64.0,1160.1,1266.4,-106.30000000000018,-18.2,1.3288975,
2_1669,9319.280884569655,33305.20636200037,8423.001302089271,238,1,31,-12.613124999999997,-70.300625,0,27.5,1160.1,1266.4,-106.30000000000018,-5.3,1.3277502,
2_1670,7137.642689469446,36413.33268112085,3157.5079256781314,266,1,21,-12.645375000000001,-70.480375,1,-43.0,1160.1,1266.4,-106.30000000000018,28.0,2.0834272,
2_1671,45257.18453783741,13761.115928465964,19229.001886468384,250,1,21,-13.033375000000007,-69.959125,1,0.0,1160.1,1266.4,-106.30000000000018,2.8,2.1169538,
2_1672,28427.39011466447,15913.864847316698,9416.164913674706,263,1,24,-12.756375000000006,-70.12112499999999,0,60.0,1160.1,1266.4,-106.30000000000018,-11.5,2.0836165,
2_1673,15180.786899529157,20572.29999345012,14781.821773944679,365,1,21,-13.009124999999997,-70.679875,0,-16.5,1160.1,1266.4,-106.30000000000018,10.1,6.464861,
2_1674,638.8038229525165,20561.47753002029,1243.3890905673863,444,1,21,-12.992625000000004,-70.538625,0,-28.5,1160.1,1266.4,-106.30000000000018,34.8,6.7785635,
2_1675,39431.96571856306,3075.019890886188,6615.164872042251,253,1,24,-12.921875,-69.998375,0,117.5,1160.1,1266.4,-106.30000000000018,-5.2,2.7802885,
2_1676,43647.46692589244,28434.685860461945,19645.03215686383,242,1,24,-12.622375000000005,-69.987625,0,226.0,1160.1,1266.4,-106.30000000000018,-52.9,2.995709,
2_1677,10804.61504943962,598.2526426914508,4657.947017042403,299,1,21,-12.925125000000008,-70.260375,0,-11.5,1160.1,1266.4,-106.30000000000018,9.9,6.229813,
2_1678,8199.940924101371,29677.10081180942,3141.1432006022033,269,1,31,-12.729375000000005,-70.488875,0,-33.0,1160.1,1266.4,-106.30000000000018,33.6,7.3122478,
2_1679,13734.224714792548,29711.909774867192,4219.306111531276,338,1,31,-12.910375000000002,-70.625625,0,6.5,1160.1,1266.4,-106.30000000000018,23.7,2.8522763,
2_1680,36030.66251231688,2179.4668117585843,220.8713525061821,252,1,41,-12.857375000000005,-70.033875,0,59.0,1160.1,1266.4,-106.30000000000018,5.6,4.6703696,
2_1681,12309.618808737769,21144.931195488974,11174.53119453351,330,1,31,-12.992874999999998,-70.648125,1,-13.0,1160.1,1266.4,-106.30000000000018,12.3,2.999685,
2_1682,12416.008957323796,34765.57940735248,720.8884907282493,289,1,21,-12.699375000000003,-70.524625,0,130.0,1160.1,1266.4,-106.30000000000018,-12.4,3.8241618,
2_1683,10089.266716274844,27680.431879690816,2251.0228354517194,285,1,21,-12.765124999999998,-70.497625,0,-91.5,1160.1,1266.4,-106.30000000000018,63.8,10.50483,
2_1684,9486.081573450865,25687.183352709246,558.8514519194703,287,1,31,-12.777625,-70.484375,1,7.5,1160.1,1266.4,-106.30000000000018,12.7,0.0,
2_1685,11417.076226529187,27792.987272525454,3275.263150564293,322,1,31,-12.927125000000004,-70.612375,0,8.0,1160.1,1266.4,-106.30000000000018,2.8,4.1623235,
2_1686,46783.396669722526,7724.3927503996565,16038.15565783383,251,1,34,-12.982124999999996,-69.936875,0,0.0,1160.1,1266.4,-106.30000000000018,0.0,0.92740995,
2_1687,15844.361021563496,26301.409749417668,455.9629310130461,291,1,21,-12.849125,-70.551625,0,67.5,1160.1,1266.4,-106.30000000000018,-12.6,5.9799266,
