system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1804,238,107.70774,16769,16883,52755,16769,30510,5829,7980,1,24,-12.734966625320398,-69.89925973026615,0,-4.0,1571.5,1224.5,347.0,2.5,1.0578206,
1_1_1_1_1805,293,89.10276,15803,1839,15803,25755,11140,556,18629,1,21,-12.82300152316411,-70.52628379858159,0,-9.5,1571.5,1224.5,347.0,10.1,0.47559586,
1_1_1_1_1806,303,20.517971,19294,0,19294,34399,10520,2304,22376,1,24,-12.77000092140106,-70.58467429204936,0,12.5,1571.5,1224.5,347.0,0.2,0.95092726,
1_1_1_1_1807,425,22.213787,7011,14666,7118,12773,18144,4854,7207,1,31,-13.062851704024023,-70.52808042914982,0,-9.0,1571.5,1224.5,347.0,5.4,5.430236,
1_1_1_1_1808,302,85.96948,19910,0,19910,31045,6365,4589,16901,1,41,-12.820306577311753,-70.58467429204936,0,2.5,1571.5,1224.5,347.0,0.9,1.6848409,
1_1_1_1_1809,270,68.2804,12109,0,12109,34832,6604,492,13632,1,31,-12.69454243753502,-70.52089390687686,0,11.5,1571.5,1224.5,347.0,-0.5,3.3558762,
1_1_1_1_1810,261,87.816414,2322,0,32189,2322,10357,5186,2468,1,24,-12.916426312712542,-70.06454974254414,0,0.0,1571.5,1224.5,347.0,0.0,1.5004541,
1_1_1_1_1811,252,13.139856,3414,98,3414,37253,7115,3248,3846,1,21,-12.610100800827784,-70.42836743261256,0,-3.0,1571.5,1224.5,347.0,1.8,0.46373534,
1_1_1_1_1812,259,88.45745,6354,0,39225,6354,6409,9156,6514,1,34,-12.952358924077322,-70.0025659879399,0,0.0,1571.5,1224.5,347.0,0.0,1.4700428,
1_1_1_1_1813,252,20.03323,2989,2926,36725,2989,17681,907,5710,1,34,-12.850849296971816,-70.02861713117937,0,-4.5,1571.5,1224.5,347.0,8.9,0.95123124,
1_1_1_1_1814,489,6.5226984,3393,8759,3393,8759,13754,2504,3798,1,21,-13.062851704024023,-70.44363879244258,0,-4.0,1571.5,1224.5,347.0,4.8,3.8083308,
1_1_1_1_1815,267,104.93462,2507,1378,2507,36053,6938,1868,3970,1,21,-12.622677214805458,-70.4301640631808,1,-5.0,1571.5,1224.5,347.0,4.5,1.9141774,
